date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:30	122022/122022	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-advanced.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-advanced.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:30	59762/59762	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-validation.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-validation.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:30	73619/73619	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-wizard.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-wizard.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:30	38859/38859	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-fileupload.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-fileupload.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:31	36105/36105	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-quilljs.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-quilljs.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:31	36526/36526	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/form-xeditable.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/form-xeditable.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:31	83553/83553	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/tables-basic.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/tables-basic.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:31	176223/176223	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/tables-datatable.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/tables-datatable.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:32	63392/63392	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/tables-responsive.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/tables-responsive.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:32	48649/48649	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/tables-editable.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/tables-editable.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:32	77403/77403	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/tables-tablesaw.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/tables-tablesaw.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:32	43203/43203	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/charts-flot.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/charts-flot.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:33	47109/47109	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/charts-morris.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/charts-morris.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:33	68824/68824	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/charts-chartist.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/charts-chartist.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:33	42508/42508	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/charts-chartjs.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/charts-chartjs.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:34	75438/75438	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/charts-other.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/charts-other.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:34	31945/31945	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-starter.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-starter.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:34	4571/4571	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-login.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-login.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:34	4776/4776	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-register.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-register.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:34	3783/3783	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-recoverpw.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-recoverpw.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:35	3849/3849	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-lock-screen.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-lock-screen.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:35	3099/3099	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-confirm-mail.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-confirm-mail.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	3092/3092	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-404.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-404.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	2906/2906	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/pages-500.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/pages-500.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	57342/57342	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-projects.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-projects.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	36987/36987	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-tour.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-tour.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	74733/74733	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-taskboard.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-taskboard.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:36	48020/48020	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-taskdetail.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-taskdetail.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:37	55911/55911	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-profile.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-profile.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:37	48070/48070	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-maps.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-maps.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:37	51315/51315	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-contact.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-contact.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:37	43117/43117	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-pricing.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-pricing.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:38	44993/44993	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-timeline.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-timeline.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:38	41057/41057	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-invoice.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-invoice.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	45185/45185	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-faq.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-faq.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	43424/43424	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-gallery.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-gallery.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	33446/33446	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-email-templates.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-email-templates.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	7150/7150	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-maintenance.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-maintenance.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	2522/2522	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/vertical/extras-comingsoon.html	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/extras-comingsoon.html	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:39	4499/4499	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-1193%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-3.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-3.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:40	7421/7421	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-1cfd%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-2.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-2.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:40	7126/7126	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-1bd6%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-10.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-10.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:40	5411/5411	---M--	200	added ('OK')	image/jpeg	etag:%225ebd3c58-1523%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/users/user-5.jpg	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/users/user-5.jpg	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
10:49:41	37064/37064	---M--	200	added ('OK')	image/png	etag:%225ebd3c58-90c8%22	https://coderthemes.com/adminto/layouts/vertical/assets/images/layouts/light.png	D:/WEBSITE/webiste/coderthemes.com/adminto/layouts/vertical/assets/images/layouts/light.png	(from https://coderthemes.com/adminto/layouts/vertical/index.html)
